_id,geometry,locality,placeName,placeNameId
5b418dfb3d88413b6ca9df82,"{""type"": ""MultiPoint"", ""coordinates"": [[172.60205802226497, -43.5858052447837]]}",Westmorland,Francis Mill Park,3833
5b418dfb3d88413b6ca9df88,"{""type"": ""MultiPoint"", ""coordinates"": [[172.623994169055, -43.456418551909]]}",Belfast,Foley Reserve,384
5b418dfb3d88413b6ca9df9b,"{""type"": ""MultiPoint"", ""coordinates"": [[172.756979477957, -43.5780259854925]]}",Sumner,Captain Thomas Courts,392
5b418dfb3d88413b6ca9dfc2,"{""type"": ""MultiPoint"", ""coordinates"": [[172.514712360582, -43.5435075278859]]}",Islington,Springmead Park,437
5b418dfb3d88413b6ca9dfcd,"{""type"": ""MultiPoint"", ""coordinates"": [[172.68232558843198, -43.495222552757895]]}",Burwood,Carlsen Reserve,450
5b418dfb3d88413b6ca9dfd8,"{""type"": ""MultiPoint"", ""coordinates"": [[172.692746839195, -43.5525984701841]]}",Woolston,Kotuku Reserve,464
5b418dfb3d88413b6ca9dfed,"{""type"": ""MultiPoint"", ""coordinates"": [[172.550903854668, -43.5437263642143]]}",Hornby,Vickerys Reserve,486
5b418dfb3d88413b6ca9dfeb,"{""type"": ""MultiPoint"", ""coordinates"": [[172.637892707521, -43.5350048864622]]}",Central City,Civic Offices,484
5b418dfb3d88413b6ca9dff4,"{""type"": ""MultiPoint"", ""coordinates"": [[172.733036555462, -43.5265569863538]]}",South New Brighton,South New Brighton School,493
5b418dfb3d88413b6ca9e00c,"{""type"": ""MultiPoint"", ""coordinates"": [[172.581766639127, -43.4964349540104]]}",Bishopdale,Halifax Reserve,523
5b418dfb3d88413b6ca9e00f,"{""type"": ""MultiPoint"", ""coordinates"": [[172.717048171607, -43.4960502939502]]}",North New Brighton,North New Brighton School,528
5b418dfb3d88413b6ca9e02f,"{""type"": ""MultiPoint"", ""coordinates"": [[172.538623832526, -43.5558740088281]]}",Hornby,Wilmers Esplanade Reserve,568
5b418dfb3d88413b6ca9e054,"{""type"": ""MultiPoint"", ""coordinates"": [[172.605796007683, -43.5043092315986]]}",Papanui,Waimairi School,609
5b418dfb3d88413b6ca9e058,"{""type"": ""MultiPoint"", ""coordinates"": [[172.554378020875, -43.5068811250762]]}",Avonhead,Briar Reserve,612
5b418dfb3d88413b6ca9e00a,"{""type"": ""MultiPoint"", ""coordinates"": [[172.591959390855, -43.519132919652]]}",Fendalton,Fendalton Park,521
5b418dfb3d88413b6ca9e00e,"{""type"": ""MultiPoint"", ""coordinates"": [[172.684294524804, -43.5160790116758]]}",Wainoni,Porritt Park,526
5b418dfb3d88413b6ca9e03d,"{""type"": ""MultiPoint"", ""coordinates"": [[172.597913364496, -43.5576100217845]]}",Hoon Hay,Manning Intermediate School,583
5b418dfb3d88413b6ca9e048,"{""type"": ""MultiPoint"", ""coordinates"": [[172.559281506511, -43.4993745492546]]}",Avonhead,Lavandula Reserve,594
5b418dfb3d88413b6ca9e04b,"{""type"": ""MultiPoint"", ""coordinates"": [[172.671572492689, -43.57244106472769]]}",Hillsborough,Montgomery Spur Reserve,598
5b418dfb3d88413b6ca9e057,"{""type"": ""MultiPoint"", ""coordinates"": [[172.553393863019, -43.5078674112305]]}",Avonhead,Westgrove Park,611
5b418dfb3d88413b6ca9e05c,"{""type"": ""MultiPoint"", ""coordinates"": [[172.726780980336, -43.513084228524]]}",New Brighton,Withells Island Reserve,616
5b418dfb3d88413b6ca9dfe9,"{""type"": ""MultiPoint"", ""coordinates"": [[172.653698948965, -43.5084735381653]]}",Richmond,Shirley Community Reserve,482
5b418dfb3d88413b6ca9dfef,"{""type"": ""MultiPoint"", ""coordinates"": [[172.761607975363, -43.5726862533193]]}",Sumner,GF Allan Courts,488
5b418dfb3d88413b6ca9dff5,"{""type"": ""MultiPoint"", ""coordinates"": [[172.715062549158, -43.5167633103869]]}",Bexley,Bexley Park,494
5b418dfb3d88413b6ca9dffe,"{""type"": ""MultiPoint"", ""coordinates"": [[172.59947828876, -43.52628328599]]}",Fendalton,Riccarton Bush,506
5b418dfb3d88413b6ca9e009,"{""type"": ""MultiPoint"", ""coordinates"": [[172.647263728854, -43.6015106425974]]}",Lyttelton,Thomson Scenic Reserve,520
5b418dfb3d88413b6ca9e02a,"{""type"": ""MultiPoint"", ""coordinates"": [[172.627214202766, -43.513795634681394]]}",St Albans,Cedar Park,560
5b418dfb3d88413b6ca9e051,"{""type"": ""MultiPoint"", ""coordinates"": [[172.689405116108, -43.5465159911338]]}",Woolston,Tamariki School,604
5b418dfb3d88413b6ca9dfff,"{""type"": ""MultiPoint"", ""coordinates"": [[172.641053802782, -43.53393468886169]]}",Central City,Bedford Row Carpark,507
5b418dfb3d88413b6ca9e003,"{""type"": ""MultiPoint"", ""coordinates"": [[172.724259979828, -43.52623888578779]]}",South New Brighton,Rat Island Reserve,514
5b418dfb3d88413b6ca9e008,"{""type"": ""MultiPoint"", ""coordinates"": [[172.554794461828, -43.5706132095013]]}",Westlake,Westlake Reserve,52
5b418dfb3d88413b6ca9e025,"{""type"": ""MultiPoint"", ""coordinates"": [[172.654267035331, -43.5419421042327]]}",Waltham,Lancaster Park,554
5b418dfb3d88413b6ca9e026,"{""type"": ""MultiPoint"", ""coordinates"": [[172.67982601415, -43.49626386856289]]}",Westhaven,Tangmere Reserve,555
